PMID23223431Line147|88 92|GATA2 
PMID22898539Line238|20 24|Asxl1 
PMID22898539Line238|180 184|Asxl1 
PMID21605981Line109|70 74|GATA1 
PMID21605981Line109|76 79|FOG1 
PMID21605981Line109|138 142|GATA1 
PMID21605981Line109|147 150|FOG1 
PMID21605981Line154|47 51|GATA2 
PMID21605981Line154|83 89|miR-451 
PMID22898539Line113|42 45|TET2 
PMID21605981Line289|17 21|GATA2 
PMID21605981Line289|163 167|GATA2 
PMID22210327Line35|65 68|BCOR 
PMID22210327Line35|72 77|BCORL1 
PMID24986690Line52|91 94|JAK2 
PMID24986690Line52|103 106|CALR 
PMID24986690Line52|115 117|MPL 
PMID22323480Line11|67 71|SF3B1 
PMID22323480Line11|73 77|U2AF1 
PMID22323480Line11|82 86|SRSF2 
PMID21605981Line90|43 47|GATA2 
PMID23978506Line215|107 110|JAK2 
PMID23978506Line200|61 64|JAK2 
PMID23978506Line200|153 156|JAK2 
PMID21605981Line306|30 34|GATA2 
PMID21605981Line306|56 69|angiopoietin-2 
PMID21605981Line306|71 74|ANG2 
PMID23223431Line220|127 131|GATA2 
PMID21714648Line89|20 24|ASXL1 
PMID21714648Line89|26 30|RUNX1 
PMID21714648Line89|32 35|TP53 
PMID21714648Line89|37 40|EZH2 
PMID21714648Line89|42 44|CBL 
PMID21714648Line89|49 52|ETV6 
PMID25006131Line107|100 104|STAG2 
PMID22898539Line126|81 115|activation-induced cytidine deaminase 
PMID22898539Line126|117 119|AID 
PMID24986690Line30|125 128|JAK2 
PMID24986690Line30|130 133|CALR 
PMID25006131Line34|42 46|STAG2 
PMID25006131Line34|48 52|STAG1 
PMID25006131Line34|54 58|RAD21 
PMID25006131Line34|60 63|SMC3 
PMID25006131Line34|65 69|SMC1A 
PMID25006131Line34|71 75|PDS5B 
PMID25006131Line34|77 81|WAPAL 
PMID25006131Line34|83 86|MAU2 
PMID25006131Line34|88 91|REC8 
PMID25006131Line34|93 97|NIPBL 
PMID25006131Line34|99 102|SMC5 
PMID25006131Line34|107 111|ESCO2 
PMID20601954Line60|49 52|EZH2 
PMID20601954Line60|83 86|EZH2 
PMID22898539Line140|128 131|TET2 
PMID22323480Line94|106 110|U2AF1 
PMID22323480Line94|112 116|SF3B1 
PMID22323480Line94|121 125|SRSF2 
PMID25465125Line86|0 4|ASXL1 
PMID25465125Line86|6 29|additional sex combs-like 1 
PMID22898539Line151|122 125|TET2 
PMID25465125Line84|11 15|ASXL1 
PMID25465125Line84|17 20|EZH2 
PMID24986690Line86|80 83|JAK2 
PMID24986690Line86|114 117|CALR 
PMID24986690Line86|149 151|MPL 
PMID23978506Line223|54 57|JAK2 
PMID21605981Line100|121 125|GATA1 
PMID21605981Line100|129 133|GATA2 
PMID22898539Line139|144 147|TET2 
PMID25465125Line217|38 42|SF3B1 
PMID25465125Line217|76 80|ABCB7 
PMID22323480Line154|24 28|SF3B1 
PMID22323480Line154|95 99|SF3B1 
PMID22323480Line154|323 327|SF3B1 
PMID23531518Line122|31 35|ASXL1 
PMID23978506Line77|19 22|JAK2 
PMID21714648Line119|32 35|ETV6 
PMID21714648Line119|152 155|ETV6 
PMID21605981Line294|17 21|GATA2 
PMID23619563Line70|20 24|ASXL1 
PMID22898539Line178|53 56|IDH1 
PMID25465125Line149|11 16|SETBP1 
PMID25465125Line164|66 70|GATA2 
PMID25465125Line164|89 93|FLT3L 
PMID21605981Line261|19 23|GATA1 
PMID21605981Line261|27 31|GATA2 
PMID23978506Line73|0 2|MPL 
PMID23978506Line73|6 9|JAK2 
PMID23978506Line73|67 69|MPL 
PMID23978506Line73|81 84|JAK2 
PMID21605981Line286|20 24|GATA2 
PMID25465125Line89|0 4|ASXL1 
PMID22898539Line154|0 3|IDH1 
PMID22898539Line154|51 54|IDH2 
PMID22878824Line122|41 44|IDH1 
PMID22878824Line122|48 51|IDH2 
PMID22878824Line164|85 87|KIT 
PMID21339759Line62|91 94|EZH2 
PMID21339759Line62|96 99|TET2 
PMID21339759Line62|101 105|ASXL1 
PMID21339759Line62|107 109|CBL 
PMID21339759Line62|111 114|NRAS 
PMID21339759Line62|116 119|KRAS 
PMID21339759Line62|121 124|JAK2 
PMID21339759Line62|126 130|RUNX1 
PMID21339759Line62|132 135|IDH1 
PMID21339759Line62|137 140|IDH2 
PMID21339759Line62|142 145|NPM1 
PMID21339759Line62|149 151|MPL 
PMID21339759Line62|366 369|EZH2 
PMID21339759Line62|394 397|EZH2 
PMID21339759Line62|508 511|EZH2 
PMID21339759Line62|534 537|EZH2 
PMID21339759Line62|539 542|TET2 
PMID21339759Line62|569 572|TET2 
PMID21339759Line62|593 596|EZH2 
PMID24335498Line127|41 44|NPM1 
PMID25465125Line54|0 5|DNMT3A 
PMID25465125Line54|7 45|DNA (cytosine-5)-methyltransferase 3 alpha 
PMID21339759Line12|0 3|EZH2 
PMID23619563Line13|64 67|IDH1 
PMID23619563Line13|71 75|SRSF2 
PMID23619563Line13|79 83|ASXL1 
PMID23619563Line13|113 116|IDH1 
PMID23619563Line13|120 124|SRSF2 
PMID22210327Line45|2 5|BCOR 
